secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1878,82,111,12.432,47.9124,0,148,11.8,-5.44464198,36.21511228,0,-9.40993,-255,0,-255,0,0,0,0,0,0,0,0
1879,83,112,12.4455,47.6208,0,222,10.8,-5.44470116,36.21522367,0,-9.101,-255,0,-255,0,0,0,0,0,0,0,0
1880,84,113,12.459,47.592,0,216,10.6,-5.44475916,36.21533607,0,-8.22789,-255,0,-255,0,0,0,0,0,0,0,0
1881,85,113,12.4719,47.412,0,212,10.2,-5.44480895,36.21544512,0,-7.63163,-255,0,-255,0,0,0,0,0,0,0,0
1882,83,114,12.4847,46.5588,0,213,10.2,-5.44486921,36.21554998,0,-6.76058,-255,0,-255,0,0,0,0,0,0,0,0
1883,81,115,12.4972,45.612,0,223,9.8,-5.44492629,36.21565249,0,-6.18982,-255,0,-255,0,0,0,0,0,0,0,0
1884,81,115,12.5095,44.388,0,222,10,-5.44497541,36.21575601,0,-5.31877,-255,0,-255,0,0,0,0,0,0,0,0
1885,78,115,12.5217,43.6356,0,199,10,-5.44502185,36.21585885,0,-4.50309,-255,0,-255,0,0,0,0,0,0,0,0
1886,78,115,12.5333,42.4548,0,190,10.4,-5.44506803,36.21595675,0,-3.69114,-255,0,-255,0,0,0,0,0,0,0,0
1887,75,115,12.5447,41.2452,0,184,10.4,-5.44511489,36.21605264,0,-2.95259,-255,0,-255,0,0,0,0,0,0,0,0
1888,75,115,12.5559,40.0284,0,195,10.4,-5.44515856,36.21614660,0,-1.01518,-255,0,-255,0,0,0,0,0,0,0,0
1889,78,116,12.5666,38.7396,0,209,10.2,-5.44519963,36.21623738,0,-0.458803,-255,0,-255,0,0,0,0,0,0,0,0
1890,84,116,12.5771,37.6704,0,217,10.2,-5.44524279,36.21632472,0,-0.310762,-255,0,-255,0,0,0,0,0,0,0,0
1891,90,116,12.5873,36.6696,0,208,10.8,-5.44528931,36.21640887,0,0.585846,-255,0,-255,0,0,0,0,0,0,0,0
1892,105,117,12.5972,35.8344,0,200,11.2,-5.44533458,36.21649034,0,0.989472,-255,0,-255,0,0,0,0,0,0,0,0
1893,93,117,12.6069,35.262,0,176,11.4,-5.44537540,36.21657115,0,1.51639,-255,0,-255,0,0,0,0,0,0,0,0
1894,78,118,12.6163,34.4592,0,182,11.4,-5.44542083,36.21664784,0,1.35392,-255,0,-255,0,0,0,0,0,0,0,0
1895,82,118,12.6258,34.7112,0,204,11.6,-5.44548126,36.21671816,0,1.56445,-255,0,-255,0,0,0,0,0,0,0,0
1896,82,118,12.6352,33.6096,0,203,11.8,-5.44556374,36.21676971,0,1.43395,-255,0,-255,0,0,0,0,0,0,0,0
1897,84,118,12.6442,32.1588,0,208,11.8,-5.44565862,36.21679561,0,1.43395,-255,0,-255,0,0,0,0,0,0,0,0
1898,82,119,12.6531,31.518,0,208,12.2,-5.44575694,36.21680726,0,1.8819,-255,0,-255,0,0,0,0,0,0,0,0
1899,95,119,12.6619,30.9672,0,246,12.4,-5.44585434,36.21681154,0,2.29651,-255,0,-255,0,0,0,0,0,0,0,0
1900,82,120,12.6705,30.312,0,215,12.8,-5.44594972,36.21681129,0,2.76276,-255,0,-255,0,0,0,0,0,0,0,0
1901,81,120,12.6787,29.1852,0,216,13.4,-5.44604125,36.21681187,0,2.90521,-255,0,-255,0,0,0,0,0,0,0,0
1902,87,121,12.6866,28.152,0,244,14.4,-5.44612926,36.21681472,0,3.76579,-255,0,-255,0,0,0,0,0,0,0,0
